Average private Cpu usage,  13.05 , Average private memory usage,  89.85 , Average private disks usage,  94.0 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.65 , Average private memory usage,  88.55 , Average private disks usage,  91.15 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.75 , Average private memory usage,  89.8 , Average private disks usage,  91.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.05 , Average private memory usage,  91.25 , Average private disks usage,  94.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.35 , Average private memory usage,  93.6 , Average private disks usage,  95.7 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.25 , Average private memory usage,  93.0 , Average private disks usage,  93.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.85 , Average private memory usage,  91.4 , Average private disks usage,  92.0 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.0 , Average private memory usage,  93.6 , Average private disks usage,  94.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.35 , Average private memory usage,  93.95 , Average private disks usage,  95.95 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.95 , Average private memory usage,  90.75 , Average private disks usage,  94.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.3 , Average private memory usage,  93.85 , Average private disks usage,  97.45 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.9 , Average private memory usage,  90.65 , Average private disks usage,  96.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  12.75 , Average private memory usage,  88.1 , Average private disks usage,  96.5 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.05 , Average private memory usage,  90.05 , Average private disks usage,  97.9 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.25 , Average private memory usage,  93.2 , Average private disks usage,  98.4 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
Average private Cpu usage,  13.65 , Average private memory usage,  94.0 , Average private disks usage,  99.25 , Average public Cpu usage,  0.0 , Average public memory usage,  0.0 , Average public disks usage,  0.0 , Number of public machines,  1 
